Cosignee,Origin,Destination
 Italian Coffee ," Genoa, Italy"," Port Everglades, Florida"
" Barr, Louis J "," Hakata, Japan"," Los Angeles, California"
" Agream Corporation 3rd Floor, "," Gooch Island, BC, Canada"," Tacoma, Washington"
 Sojitz Foods Corporation ," Gooch Island, BC, Canada"," Tacoma, Washington"
 a Customs Brokerage ," Valencia, Spain"," Port Everglades, Florida"
 Freight Cargo Logistics ," Valencia, Spain"," Port Everglades, Florida"
 Ataka Trading Co. Ltd. ," Gooch Island, BC, Canada"," Longview, Washington"
" Nishi Nihon Kawayo Co., Ltd. "," Gooch Island, BC, Canada"," Tacoma, Washington"
 Gac S Pte Ltd. ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Kanematsu Corporation (Tfs12) ," Gooch Island, BC, Canada"," Seattle, Washington"
" Honkawa Co.,Ltd. "," Gooch Island, BC, Canada"," Tacoma, Washington"
" Manno Chikusan Co., Ltd. "," Gooch Island, BC, Canada"," Seattle, Washington"
" Nishi Nihon Kawaya Co., Ltd. "," Gooch Island, BC, Canada"," Tacoma, Washington"
" Trabio Co., Ltd. "," Gooch Island, BC, Canada"," Tacoma, Washington"
 Eurogourmet Ana- ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Sojitz Foods Coproration Feed ," Gooch Island, BC, Canada"," Seattle, Washington"
" Honkawa Co., Ltd. "," Gooch Island, BC, Canada"," Tacoma, Washington"
 Horse City Sdn. Bhd. ," Gooch Island, BC, Canada"," Tacoma, Washington"
 to the Order of Shipper ," Gooch Island, BC, Canada"," Tacoma, Washington"
 to the Order of Woori Bank Korea ," Gooch Island, BC, Canada"," Tacoma, Washington"
" Honkawa Co., Ltd "," Gooch Island, BC, Canada"," Tacoma, Washington"
 Kanematsu Corporation ," Gooch Island, BC, Canada"," Tacoma, Washington"
" J-Agri Co., Ltd "," Gooch Island, BC, Canada"," Seattle, Washington"
" to the Order of Woori Bank, Korea "," Gooch Island, BC, Canada"," Tacoma, Washington"
 European Imports Ltd ," Leghorn, Italy"," New York, New York"
 Stansfeld Scott & Co. Ltd ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
